NAME,AXIOM_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,OUTPUT_SIZE,TIME
00052,28997,2988,29376,20629,27911,22027
00286,46940,9063,49233,45147,47422,65637
00368,32285,11201,34401,56529,28051,59153
00369,50897,17651,53556,89921,43718,168651
00370,68449,23393,73361,106654,61030,293995
00371,34865,41758,108625,56861,30720,173985
00374,38075,56657,126734,80929,33926,210567
00386,36044,11465,41467,54480,31677,71333
00397,2922,321163,368870,4119,3447,67569
00398,34778,38484,100399,55565,30587,162384
00400,37576,27830,77602,58851,33314,134038
00415,47687,31529,80842,56863,43156,152674
00416,68844,46533,142581,92126,61313,528612
00425,38375,3157,32300,52377,32586,67656
00426,69312,30065,59825,152185,56626,451350
00436,25552,132682,424770,51496,27170,246549
00448,74255,13914,64901,127672,61495,455440
00485,5291,1264061,1384988,7818,5574,547530
00521,10916,0,5675,16151,10908,6222
00532,49670,50651,108369,71953,43913,229069
00535,4622,92424,1123161,9647,10681,442660
00540,14906,40588,135636,6865,14833,26228
00566,52406,2869,51973,27273,50883,59487
00678,18511,5653,64521,24244,15734,51963
00682,74647,11949,64731,119169,61964,428424
00700,2076,3799,243147,117942,3304,196634
00701,1820,4916,143578,76368,3462,62168
00702,1561,2652,99793,64297,2279,39945
00703,2347,5879,256706,147533,4297,286437
00715,1016,2072,75571,51477,1572,22348
00716,1243,2429,106895,52236,2028,33399
00724,1773,2747,115994,55514,2600,39899
00727,1816,3403,136996,60221,2965,47935
00733,1376,2721,139213,61147,2255,48402
00741,1472,3066,133173,57506,2561,47264
00752,1558,2722,111744,62290,2426,42816
00754,1882,7742,176961,109200,3396,114856
00756,1173,2017,80714,40031,1784,21153
